maker,product_name,url,form,moisture_pct,protein_asfed,protein_dm,fat_dm,phosphorus_asfed,phosphorus_dm,calorie_density_100g,calorie_basis,is_therapeutic,phosphorus_disclosed,fetched_at
アイシア株式会社,国産 健康缶パウチ 水分補給 まぐろペースト,https://www.aixia.jp/product/detail_4571104715368,ウェット,91.4,6.1,70.9,2.3,0.07%,0.8,,per_piece,False,yes,2026-06-22
アイシア株式会社,国産 健康缶パウチ 水分補給 まぐろムース,https://www.aixia.jp/product/detail_4571104715375,ウェット,91.4,6.1,70.9,2.3,0.07%,0.8,,per_piece,False,yes,2026-06-22
アイシア株式会社,国産 健康缶パウチ 水分補給 まぐろフレーク,https://www.aixia.jp/product/detail_4571104715382,ウェット,89.7,8.4,81.6,2.9,0.10%,1.0,,per_piece,False,yes,2026-06-22
アイシア株式会社,国産 健康缶パウチ 水分補給 かつおペースト,https://www.aixia.jp/product/detail_4571104716754,ウェット,91.4,6.1,70.9,2.3,0.07%,0.8,,per_piece,False,yes,2026-06-22
アイシア株式会社,国産 健康缶パウチ 水分補給 ささみペースト,https://www.aixia.jp/product/detail_4571104716761,ウェット,91.4,6.1,70.9,2.3,0.06%,0.7,,per_piece,False,yes,2026-06-22
アイシア株式会社,MiawMiawとびきり♪ まぐろ,https://www.aixia.jp/product/detail_45182570,ウェット,88.7,10.0,88.5,3.5,,,,per_piece,False,no,2026-06-22
アイシア株式会社,MiawMiawとびきり♪ ささみ入りまぐろ,https://www.aixia.jp/product/detail_45182587,ウェット,88.7,10.0,88.5,3.5,,,,per_piece,False,no,2026-06-22
アイシア株式会社,MiawMiawとびきり♪ しらす入りまぐろ,https://www.aixia.jp/product/detail_45182594,ウェット,88.7,10.0,88.5,3.5,,,,per_piece,False,no,2026-06-22
アイシア株式会社,MiawMiawとびきり♪ おかか入りまぐろ,https://www.aixia.jp/product/detail_45182600,ウェット,88.7,10.0,88.5,3.5,,,,per_piece,False,no,2026-06-22
アイシア株式会社,MiawMiawとびきり♪ ささみ,https://www.aixia.jp/product/detail_45182716,ウェット,90.0,8.2,82.0,4.0,,,,per_piece,False,no,2026-06-22
アイシア株式会社,MiawMiawとびきり♪ しらす入りささみ,https://www.aixia.jp/product/detail_45182723,ウェット,90.0,8.2,82.0,4.0,,,,per_piece,False,no,2026-06-22
アイシア株式会社,MiawMiawとびきり♪ 15歳からのまぐろ,https://www.aixia.jp/product/detail_45182617,ウェット,88.7,10.0,88.5,3.5,,,,per_piece,False,no,2026-06-22
アイシア株式会社,MiawMiawとびきり♪ 15歳からのささみ入りまぐろ,https://www.aixia.jp/product/detail_45182624,ウェット,88.7,10.0,88.5,3.5,,,,per_piece,False,no,2026-06-22
アイシア株式会社,健康缶パウチ シニア猫用 下部尿路ケア,https://www.aixia.jp/product/detail_4571104713821,ウェット,85.0,6.8,45.3,24.7,0.08%,0.5,,per_piece,False,yes,2026-06-22
アイシア株式会社,健康缶パウチ シニア猫用 腸内環境ケア,https://www.aixia.jp/product/detail_4571104713838,ウェット,85.0,6.8,45.3,24.7,0.08%,0.5,,per_piece,False,yes,2026-06-22
アイシア株式会社,健康缶パウチ シニア猫用 エイジングケア,https://www.aixia.jp/product/detail_4571104712558,ウェット,85.0,6.8,45.3,24.7,0.08%,0.5,,per_piece,False,yes,2026-06-22
アイシア株式会社,健康缶パウチ シニア猫用 皮膚・被毛ケア,https://www.aixia.jp/product/detail_4571104712572,ウェット,85.0,6.8,45.3,24.7,0.08%,0.5,,per_piece,False,yes,2026-06-22
アイシア株式会社,健康缶パウチ シニア猫用 毛玉ケア,https://www.aixia.jp/product/detail_4571104712565,ウェット,85.0,6.8,45.3,24.7,0.08%,0.5,,per_piece,False,yes,2026-06-22
アイシア株式会社,健康缶パウチ 子ねこ用 こまかめフレーク入りまぐろペースト,https://www.aixia.jp/product/detail_4571104713210,ウェット,79.6,11.0,53.9,17.6,0.36%,1.8,,per_piece,False,yes,2026-06-22
アイシア株式会社,健康缶パウチ 15歳頃からのとろとろまぐろペースト,https://www.aixia.jp/product/detail_4571104713265,ウェット,83.8,6.7,41.4,22.8,0.08%,0.5,,per_piece,False,yes,2026-06-22
アイシア株式会社,健康缶パウチ 18歳頃からのとろとろまぐろペースト,https://www.aixia.jp/product/detail_4571104713272,ウェット,84.0,7.2,45.0,23.1,0.08%,0.5,,per_piece,False,yes,2026-06-22
アイシア株式会社,健康缶パウチ 20歳頃からのとろとろまぐろペースト,https://www.aixia.jp/product/detail_4571104715023,ウェット,84.0,7.2,45.0,23.1,0.08%,0.5,,per_piece,False,yes,2026-06-22
アイシア株式会社,健犬 無垢 まぐろ,https://www.aixia.jp/product/detail_4571104716884,ウェット,85.3,13.3,90.5,1.4,,,,per_piece,False,no,2026-06-22
アイシア株式会社,健犬 無垢 かつお,https://www.aixia.jp/product/detail_4571104716891,ウェット,85.3,13.3,90.5,1.4,,,,per_piece,False,no,2026-06-22
