maker,product_pages,d_crude_protein,d_crude_fat,d_crude_fiber,d_crude_ash,d_moisture,d_calorie,d_phosphorus,d_ingredients,phosphorus_pct
いなばペットフード株式会社,161,160,161,160,161,161,148,8,161,4
ロイヤルカナンジャポン合同会社,103,103,103,103,103,102,103,58,103,56
日本ペットフード株式会社,96,96,96,96,96,96,96,90,96,93
アイシア株式会社,39,39,39,39,39,39,39,21,39,53
淡路アグリファーム株式会社,20,20,20,20,20,20,20,0,20,0
株式会社スマック,17,17,17,17,17,17,17,9,17,52
株式会社森乳サンワールド,15,15,15,15,14,14,14,0,15,0
株式会社イトウアンドカンパニーリミテッド,12,12,12,12,12,12,12,0,12,0
九州ペットフード株式会社,9,0,9,9,9,9,0,0,9,0
株式会社サンユー研究所,8,7,7,6,6,8,8,0,8,0
ヴォイス株式会社,7,7,7,7,6,7,6,2,7,28
ペットアイ株式会社,7,7,7,7,4,7,7,7,0,100
日本ヒルズ・コルゲート株式会社,6,0,0,0,0,0,6,0,6,0
株式会社ジャパンペットニュートリション,3,3,3,3,0,3,3,0,3,0
株式会社食糧,3,1,3,3,1,0,2,0,3,0
天然素材株式会社,3,0,0,0,0,3,0,3,3,100
株式会社パーパス,3,3,3,3,3,3,3,0,3,0
ペットライブラリー株式会社,3,3,3,3,3,3,3,0,3,0
ペットライン株式会社,2,2,1,1,1,1,1,1,2,50
アダプトゲン製薬九州株式会社,1,0,0,0,0,1,0,0,1,0
グローバルワン株式会社,1,1,1,1,1,1,1,1,1,100
株式会社ビルバックジャパン,1,0,1,1,1,1,1,0,1,0
マルトモ株式会社,1,0,0,0,0,0,1,0,1,0
