company_name,postal_code,address,member_type,source_url,fetched_at
アイシア株式会社,105-0014,東京都港区芝2-3-3 JRE芝二丁目大門ビル4F,正会員,https://pffta.org/about/members/,2026-06-20
株式会社アイティーフーズカンパニー,811-2233,福岡県糟屋郡志免町別府北1丁目8-20,正会員,https://pffta.org/about/members/,2026-06-20
アイリスオーヤマ株式会社,981-1596,宮城県角田市小坂上小坂1番,正会員,https://pffta.org/about/members/,2026-06-20
アース・ペット株式会社,101-0048,東京都千代田区神田司町二丁目14番地3 Act Terrace 3F,正会員,https://pffta.org/about/members/,2026-06-20
アダプトゲン製薬九州株式会社,889-1702,宮崎県宮崎市田野町乙1730−2,正会員,https://pffta.org/about/members/,2026-06-20
淡路アグリファーム株式会社,656-0143,兵庫県南あわじ市中条中筋1492,正会員,https://pffta.org/about/members/,2026-06-20
イオントップバリュ株式会社,261-0023,千葉県千葉市美浜区中瀬1-5-1 イオンタワー２０階,正会員,https://pffta.org/about/members/,2026-06-20
株式会社イトウアンドカンパニーリミテッド,491-0831,愛知県一宮市森本5-17-27,正会員,https://pffta.org/about/members/,2026-06-20
INO株式会社,284-0001,千葉県四街道市大日1880-4,正会員,https://pffta.org/about/members/,2026-06-20
いなばペットフード株式会社,421-3104,静岡県静岡市清水区由比北田114-1,正会員,https://pffta.org/about/members/,2026-06-20
イースター株式会社,679-4132,兵庫県たつの市譽田町福田726,正会員,https://pffta.org/about/members/,2026-06-20
ウェルペット・ジャパン合同会社,163-0023,東京都新宿区西新宿7-18-10 島田ビル2F,正会員,https://pffta.org/about/members/,2026-06-20
ヴォイス株式会社,222-0033,神奈川県横浜市港北区新横浜2-2-3 新横浜第一竹生ビル3F,正会員,https://pffta.org/about/members/,2026-06-20
株式会社STIサンヨー,425-0026,静岡県焼津市焼津5-7-3,正会員,https://pffta.org/about/members/,2026-06-20
エヌピーエフジャパン株式会社,261-0002,千葉県千葉市美浜区新港229-3,正会員,https://pffta.org/about/members/,2026-06-20
兼松株式会社,100-7017,東京都千代田区丸の内2-7-2 JPタワー,正会員,https://pffta.org/about/members/,2026-06-20
株式会社カラーズ,150-0021,東京都渋谷区恵比寿西2-19-9 SGビル,正会員,https://pffta.org/about/members/,2026-06-20
株式会社金虎,425-0022,静岡県焼津市本町4-12-10,正会員,https://pffta.org/about/members/,2026-06-20
特定非営利活動法人cambio,679-1124,兵庫県多可郡多可町中区森本809-15,正会員,https://pffta.org/about/members/,2026-06-20
株式会社QIX,194-0022,東京都町田市森野1-24-13 ギャランフォトビル4F,正会員,https://pffta.org/about/members/,2026-06-20
九州ペットフード株式会社,811-0123,福岡県糟屋郡新宮町上府北4-6-1,正会員,https://pffta.org/about/members/,2026-06-20
キョーリンフード工業株式会社,670-0912,兵庫県姫路市白銀町9番地,正会員,https://pffta.org/about/members/,2026-06-20
株式会社クキ・イーアンドティー,595-0014,大阪府泉大津市寿町9-16,正会員,https://pffta.org/about/members/,2026-06-20
グローバルワン株式会社,285-0813,千葉県佐倉市石川559-62,正会員,https://pffta.org/about/members/,2026-06-20
株式会社黒龍堂,105-0011,東京都港区芝公園2-6-15,正会員,https://pffta.org/about/members/,2026-06-20
株式会社コンビ,543-0013,大阪府大阪市天王寺区玉造本町14番93号,正会員,https://pffta.org/about/members/,2026-06-20
株式会社サンユー研究所,227-0054,神奈川県横浜市青葉区しらとり台37-2,正会員,https://pffta.org/about/members/,2026-06-20
シーズイシハラ株式会社,417-0845,静岡県富士市大野170-1,正会員,https://pffta.org/about/members/,2026-06-20
株式会社ジャパンペットコミュニケーションズ,103-0013,東京都中央区日本橋人形町1-2-5 ERVIC人形町 3F,正会員,https://pffta.org/about/members/,2026-06-20
株式会社ジャパンペットニュートリション,104-0033,東京都中央区新川2-6-4 新川エフ2ビルディング3F,正会員,https://pffta.org/about/members/,2026-06-20
株式会社ジャパン・メディア・システムズ,104-0061,東京都中央区銀座1-15-12 JMSビル4F,正会員,https://pffta.org/about/members/,2026-06-20
ジェックス株式会社,578-0903,大阪府東大阪市今米1-14-5,正会員,https://pffta.org/about/members/,2026-06-20
株式会社食糧,342-0041,埼玉県吉川市保1-37-25,正会員,https://pffta.org/about/members/,2026-06-20
スペクトラム ブランズ ジャパン株式会社,220-0004,神奈川県横浜市西区北幸2-6-26 HI横浜ビル3F,正会員,https://pffta.org/about/members/,2026-06-20
株式会社スマック,476-0002,愛知県東海市名和町天王前20番地,正会員,https://pffta.org/about/members/,2026-06-20
住商アグロインターナショナル株式会社,100-0003,東京都千代田区一ツ橋1-2-2 住友商事竹橋ビル9階,正会員,https://pffta.org/about/members/,2026-06-20
タイランドフィッシャリージャパン株式会社,103-0025,東京都中央区日本橋茅場町3-1-11 日本橋ピアザビル7F,正会員,https://pffta.org/about/members/,2026-06-20
株式会社ダイワ,679-4142,兵庫県たつの市揖保町松原308,正会員,https://pffta.org/about/members/,2026-06-20
TFBファクトリーズ株式会社,103-0013,東京都中央区日本橋人形町1-2-5 ERVIC人形町ビル2F,正会員,https://pffta.org/about/members/,2026-06-20
デビフペット株式会社,950-1115,新潟県新潟市西区鳥原1815,正会員,https://pffta.org/about/members/,2026-06-20
天然素材株式会社,876-0822,大分県佐伯市西浜10834-60,正会員,https://pffta.org/about/members/,2026-06-20
ドギーマンハヤシ株式会社,537-0002,大阪府大阪市東成区深江南1-16-14,正会員,https://pffta.org/about/members/,2026-06-20
徳岡商会株式会社,116-0001,東京都荒川区町屋5-15-18,正会員,https://pffta.org/about/members/,2026-06-20
トーラス株式会社,252-1104,神奈川県綾瀬市大上1-28-26,正会員,https://pffta.org/about/members/,2026-06-20
