maker,product_name,url,species,fields_found,has_analysis_section,is_therapeutic,disclosed_crude_protein,disclosed_crude_fat,disclosed_crude_fiber,disclosed_crude_ash,disclosed_moisture,disclosed_calorie,disclosed_phosphorus,disclosed_ingredients,crude_protein_value,crude_fat_value,crude_fiber_value,crude_ash_value,moisture_value,calorie_kcal,calorie_basis,phosphorus_value,calcium_value,sodium_value,magnesium_value,ingredients_snippet,fetched_at,source
マース・ジャパン・リミテッド,カルカン 離乳～12ヵ月までの子猫用 まぐろ(ウエットフード),https://kalkan.jp/products/kitten/pouch-jelly-maguro.html,cat,6,True,False,yes,yes,yes,yes,yes,no,no,yes,8.0%,1.0%,0.5%,3.0%,88.0%,,,,,,,魚介類(かつお、さば、まぐろ等)、肉類(チキン、ビーフ等)、植物性油脂、穀類、調味料(アミノ酸等)、ビタミン類(B 1 、B 2 、B 6 、B 12 、C、E、K、コリン、ナイアシン、パントテン酸、ビオチン、葉酸)、ミネラル類(Ca、Cl、Cu、Fe、I、K、Mg、Mn、Na、Zn)、アミノ酸類(タウリン)、増粘多糖,2026-06-24,official
マース・ジャパン・リミテッド,カルカン 離乳～12ヵ月までの子猫用 かにかま入りまぐろ(ウエットフード),https://kalkan.jp/products/kitten/pouch-jelly-maguro-kanikama.html,cat,6,True,False,yes,yes,yes,yes,yes,no,no,yes,8.0%,1.0%,0.5%,3.0%,88.0%,,,,,,,魚介類(かつお、さば、まぐろ等)、肉類(チキン、ビーフ等)、かにかま、植物性油脂、穀類、調味料(アミノ酸等)、ビタミン類(B 1 、B 2 、B 6 、B 12 、C、E、K、コリン、ナイアシン、パントテン酸、ビオチン、葉酸)、ミネラル類(Ca、Cl、Cu、Fe、I、K、Mg、Mn、Na、Zn)、アミノ酸類(タウリン),2026-06-24,official
マース・ジャパン・リミテッド,カルカン 離乳～12ヵ月までの子猫用 まぐろ たい入り(ウエットフード),https://kalkan.jp/products/kitten/pouch-jelly-maguro-tai.html,cat,6,True,False,yes,yes,yes,yes,yes,no,no,yes,8.0%,1.0%,0.5%,3.0%,88.0%,,,,,,,魚介類(かつお、さば、まぐろ、白身魚、たいエキス等)、肉類(チキン、ビーフ等)、植物性油脂、穀類、調味料(アミノ酸等)、ビタミン類(B 1 、B 2 、B 6 、B 12 、C、E、K、コリン、ナイアシン、パントテン酸、ビオチン、葉酸)、ミネラル類(Ca、Cl、Cu、Fe、I、K、Mg、Mn、Na、Zn)、アミノ酸類(,2026-06-24,official
マース・ジャパン・リミテッド,カルカン 離乳～12ヵ月までの子猫用 やわらかチキン(ウエットフード),https://kalkan.jp/products/kitten/pouch-onikuseries-chicken.html,cat,6,True,False,yes,yes,yes,yes,yes,no,no,yes,7.5%,2.5%,0.5%,3.0%,87.0%,,,,,,,肉類(チキン、ビーフ等)、穀類、フィッシュオイル、調味料(アミノ酸等)、ビタミン類(B 1 、B 2 、B 6 、B 12 、C、D3、E、K、コリン、ナイアシン、パントテン酸、ビオチン、葉酸)、ミネラル類(Ca、Cl、Cu、Fe、I、K、Mg、Mn、Na、P、Zn)、アミノ酸類(タウリン)、増粘安定剤(加工でん粉、増,2026-06-24,official
マース・ジャパン・リミテッド,カルカン まぐろ(成猫用ウエットフード),https://kalkan.jp/products/adult/pouch-jelly-maguro.html,cat,6,True,False,yes,yes,yes,yes,yes,no,no,yes,8.5%,1.0%,0.5%,3.0%,88.0%,,,,,,,肉類(チキン、ビーフ等)、魚介類(かつお、さば、まぐろ等)、植物性油脂、穀類、調味料(アミノ酸等)、ビタミン類(B 1 、B 2 、B 6 、B 12 、C、E、K、コリン、ナイアシン、パントテン酸、ビオチン、葉酸)、ミネラル類(Ca、Cl、Cu、Fe、I、K、Mg、Mn、Na、Zn)、アミノ酸類(タウリン)、増粘多糖,2026-06-24,official
マース・ジャパン・リミテッド,カルカン まぐろとたい(成猫用ウエットフード),https://kalkan.jp/products/adult/pouch-jelly-maguro-tai.html,cat,6,True,False,yes,yes,yes,yes,yes,no,no,yes,8.5%,1.0%,0.5%,3.0%,88.0%,,,,,,,魚介類(かつお、さば、まぐろ、白身魚、たいエキス等)、肉類(チキン、ビーフ等)、植物性油脂、穀類、調味料(アミノ酸等)、ビタミン類(B 1 、B 2 、B 6 、B 12 、C、E、K、コリン、ナイアシン、パントテン酸、ビオチン、葉酸)、ミネラル類(Ca、Cl、Cu、Fe、I、K、Mg、Mn、Na、Zn)、アミノ酸類(,2026-06-24,official
マース・ジャパン・リミテッド,カルカン まぐろと平目(成猫用ウエットフード),https://kalkan.jp/products/adult/pouch-jelly-maguro-shitabirame.html,cat,6,True,False,yes,yes,yes,yes,yes,no,no,yes,8.5%,1.0%,0.5%,3.0%,88.0%,,,,,,,魚介類(かつお、さば、まぐろ、白身魚、ひらめエキス等)、肉類(チキン、ビーフ等)、植物性油脂、穀類、調味料(アミノ酸等)、ビタミン類(B 1 、B 2 、B 6 、B 12 、C、E、K、コリン、ナイアシン、パントテン酸、ビオチン、葉酸)、ミネラル類(Ca、Cl、Cu、Fe、I、K、Mg、Mn、Na、Zn)、アミノ酸類,2026-06-24,official
マース・ジャパン・リミテッド,カルカン まぐろとさけ(成猫用ウエットフード),https://kalkan.jp/products/adult/pouch-jelly-maguro-sake.html,cat,6,True,False,yes,yes,yes,yes,yes,no,no,yes,8.5%,1.0%,0.5%,3.0%,88.0%,,,,,,,魚介類(かつお、さば、まぐろ、さけ等)、肉類(チキン、ビーフ等)、植物性油脂、穀類、調味料(アミノ酸等)、ビタミン類(B 1 、B 2 、B 6 、B 12 、C、E、K、コリン、ナイアシン、パントテン酸、ビオチン、葉酸)、ミネラル類(Ca、Cl、Cu、Fe、I、K、Mg、Mn、Na、Zn)、アミノ酸類(タウリン)、増,2026-06-24,official
マース・ジャパン・リミテッド,カルカン かにかま入りまぐろ(成猫用ウエットフード),https://kalkan.jp/products/adult/pouch-jelly-maguro-kanikama.html,cat,6,True,False,yes,yes,yes,yes,yes,no,no,yes,8.5%,1.0%,0.5%,3.0%,88.0%,,,,,,,肉類(チキン、ビーフ等)、魚介類(かつお、さば、まぐろ等)、かにかま、植物性油脂、穀類、調味料(アミノ酸等)、ビタミン類(B 1 、B 2 、B 6 、B 12 、C、E、K、コリン、ナイアシン、パントテン酸、ビオチン、葉酸)、ミネラル類(Ca、Cl、Cu、Fe、I、K、Mg、Mn、Na、Zn)、アミノ酸類(タウリン),2026-06-24,official
マース・ジャパン・リミテッド,カルカン かつお節入りまぐろとささみ(成猫用ウエットフード),https://kalkan.jp/products/adult/pouch-jelly-maguro-sasami.html,cat,6,True,False,yes,yes,yes,yes,yes,no,no,yes,8.5%,1.0%,0.5%,3.0%,88.0%,,,,,,,肉類(チキン、ささみ、ビーフ等)、魚介類(かつお、さば、まぐろ、かつお節等)、植物性油脂、穀類、調味料(アミノ酸等)、ビタミン類(B 1 、B 2 、B 6 、B 12 、C、E、K、コリン、ナイアシン、パントテン酸、ビオチン、葉酸)、ミネラル類(Ca、Cl、Cu、Fe、I、K、Mg、Mn、Na、Zn)、アミノ酸類(タ,2026-06-24,official
